epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8375,1.11128,4.22944,1.0157,0.0212,0.67122,0.11859,0.08839,0.93259,4.04847,0.86617,7.5e-05,7.5e-05,7.5e-05
2,124.808,0.95589,3.45133,0.92041,0.02626,0.8978,0.1983,0.13887,0.91747,3.87294,0.83644,0.000151094,0.000151094,0.000151094
3,186.797,0.9878,2.59458,0.96416,0.708,0.38907,0.47635,0.33242,1.0542,3.19418,0.98507,0.000221825,0.000221825,0.000221825
4,248.691,1.01158,1.8959,0.99046,0.74044,0.28616,0.5863,0.41878,0.99734,3.08152,0.97643,0.000287194,0.000287194,0.000287194
5,310.769,0.94843,1.48073,0.95853,0.74339,0.28879,0.7745,0.55117,0.99786,2.81962,1.00342,0.0003472,0.0003472,0.0003472
6,372.874,0.97371,1.28584,0.98228,0.80064,0.6333,0.87212,0.62491,1.05859,2.34378,1.02331,0.000401844,0.000401844,0.000401844
7,435.207,0.95581,1.14231,0.95659,0.78367,0.77452,0.86507,0.60914,1.10569,1.9578,1.02698,0.000451125,0.000451125,0.000451125
8,499.841,0.92382,1.04553,0.95252,0.87646,0.95213,0.96607,0.70711,1.0269,1.33955,1.02251,0.000480625,0.000480625,0.000480625
9,564.348,0.91937,0.9585,0.95736,0.92539,0.96888,0.97788,0.70055,1.09652,1.33838,1.02538,0.00046,0.00046,0.00046
10,628.262,0.91013,0.92219,0.95372,0.93631,0.97745,0.97671,0.72205,0.99437,1.03389,1.0242,0.000439375,0.000439375,0.000439375
11,694.251,0.88175,0.86046,0.94421,0.94201,0.97704,0.9836,0.70565,1.11624,1.07926,1.03677,0.00041875,0.00041875,0.00041875
12,759.697,0.86068,0.80896,0.93384,0.97143,0.98128,0.98423,0.72183,1.00431,0.82864,1.01148,0.000398125,0.000398125,0.000398125
13,824.726,0.87163,0.78864,0.93334,0.96912,0.98299,0.97934,0.7114,1.05817,0.82019,1.01451,0.0003775,0.0003775,0.0003775
14,890.327,0.85151,0.78235,0.93355,0.95385,0.9881,0.98311,0.72263,1.0548,0.82683,1.02063,0.000356875,0.000356875,0.000356875
15,956.157,0.84625,0.75841,0.93835,0.96535,0.96785,0.97086,0.72037,1.02187,0.78586,1.02086,0.00033625,0.00033625,0.00033625
16,1021.41,0.84698,0.73319,0.92584,0.96574,0.98413,0.97925,0.70809,1.03509,0.74179,1.02674,0.000315625,0.000315625,0.000315625
17,1087.38,0.84074,0.71558,0.93683,0.96309,0.98397,0.981,0.70996,1.05404,0.71485,1.02704,0.000295,0.000295,0.000295
18,1153.92,0.85121,0.72185,0.93732,0.95365,0.9745,0.97904,0.69641,1.11996,0.77793,1.03619,0.000274375,0.000274375,0.000274375
19,1217.92,0.81157,0.71356,0.90611,0.96764,0.96044,0.98198,0.72614,0.99397,0.73151,1.01622,0.00025375,0.00025375,0.00025375
20,1279.92,0.80589,0.69603,0.91419,0.96697,0.98472,0.98198,0.72444,1.01102,0.68642,1.01291,0.000233125,0.000233125,0.000233125
21,1343.38,0.80536,0.70459,0.93043,0.96602,0.97709,0.97221,0.72833,0.95588,0.72983,1.0118,0.0002125,0.0002125,0.0002125
22,1406.93,0.79054,0.69266,0.93177,0.97545,0.97774,0.97907,0.71227,1.01484,0.71813,1.02556,0.000191875,0.000191875,0.000191875
23,1470.65,0.78002,0.6758,0.9281,0.94418,0.97777,0.97212,0.70382,1.05598,0.71333,1.04469,0.00017125,0.00017125,0.00017125
24,1534.99,0.77469,0.65733,0.92905,0.97536,0.98207,0.98198,0.71502,1.02482,0.69052,1.03966,0.000150625,0.000150625,0.000150625
25,1599.42,0.7773,0.63771,0.9138,0.97876,0.9881,0.98191,0.72115,1.03607,0.69066,1.02363,0.00013,0.00013,0.00013
26,1664.16,0.775,0.65289,0.92562,0.972,0.9851,0.98069,0.73409,0.95806,0.66542,1.03447,0.000109375,0.000109375,0.000109375
27,1729.14,0.74774,0.61209,0.90991,0.96976,0.98628,0.98022,0.72323,1.00744,0.67406,1.03169,8.875e-05,8.875e-05,8.875e-05
28,1794.26,0.73453,0.60128,0.90461,0.97497,0.988,0.98021,0.72034,1.03176,0.66527,1.0281,6.8125e-05,6.8125e-05,6.8125e-05
29,1859.43,0.73187,0.59946,0.89843,0.97485,0.98275,0.98077,0.72339,1.01325,0.65054,1.02003,4.75e-05,4.75e-05,4.75e-05
30,1924.04,0.72623,0.61124,0.92597,0.97425,0.97965,0.98133,0.72469,0.99186,0.64453,1.0173,2.6875e-05,2.6875e-05,2.6875e-05
