epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1776,1.21658,4.34481,1.0708,0.00271,0.14984,0.00444,0.00287,0.98166,4.26096,0.92975,2.5e-05,2.5e-05,2.5e-05
2,40.4132,1.09819,4.18448,1.02283,0.01039,0.34169,0.06192,0.04758,1.00757,4.14965,0.90783,5.43937e-05,5.43937e-05,5.43937e-05
3,60.6254,1.0275,3.97043,0.9631,0.02695,0.85841,0.14574,0.10428,0.92982,4.04038,0.86408,8.1725e-05,8.1725e-05,8.1725e-05
4,80.8114,0.95676,3.71168,0.91061,0.02667,0.9351,0.18294,0.12695,0.92054,3.98886,0.85472,0.000106994,0.000106994,0.000106994
5,101.399,1.00178,3.4261,0.95009,0.02561,0.95994,0.21824,0.1438,0.92244,3.92151,0.84953,0.0001302,0.0001302,0.0001302
6,122.28,0.92853,3.10899,0.91827,0.02584,0.97676,0.23556,0.17052,0.89817,3.82986,0.84579,0.000151344,0.000151344,0.000151344
7,143.371,0.99175,2.83582,0.97109,0.02624,0.98077,0.34908,0.25366,0.99189,3.60609,0.89975,0.000170425,0.000170425,0.000170425
8,164.556,0.98848,2.39795,0.99243,0.83055,0.18376,0.45889,0.3097,1.0342,3.3803,0.94911,0.000187444,0.000187444,0.000187444
9,185.848,1.01499,2.15736,0.97995,0.61616,0.42189,0.57172,0.40657,0.99029,3.02509,0.9619,0.0002024,0.0002024,0.0002024
10,207.217,1.04125,1.94953,0.99991,0.61353,0.369,0.55599,0.40431,1.0037,2.94381,0.95766,0.000215294,0.000215294,0.000215294
11,228.719,1.02413,1.82712,0.97692,0.7425,0.35439,0.58782,0.41131,1.08048,2.9272,0.9761,0.000226125,0.000226125,0.000226125
12,250.42,1.03941,1.62743,1.01401,0.74472,0.31277,0.76433,0.52601,1.11252,2.82118,0.98804,0.000234894,0.000234894,0.000234894
13,271.791,1.00208,1.51037,0.98746,0.73618,0.2897,0.78523,0.55313,1.11026,2.74044,0.98778,0.0002416,0.0002416,0.0002416
14,293.249,0.97918,1.44232,0.95866,0.80369,0.32444,0.79484,0.56035,1.05831,2.60306,0.97633,0.000246244,0.000246244,0.000246244
15,314.644,0.96861,1.37061,0.99424,0.79411,0.4122,0.84378,0.5966,1.04689,2.53117,0.98362,0.000248825,0.000248825,0.000248825
16,336.194,0.98478,1.32213,0.9813,0.78563,0.43235,0.8539,0.6151,1.04807,2.48757,0.98642,0.000249344,0.000249344,0.000249344
17,357.859,0.97049,1.21797,0.98906,0.82957,0.65274,0.90584,0.65894,1.04241,2.30456,0.98312,0.0002478,0.0002478,0.0002478
18,379.434,0.99003,1.18166,1.02391,0.84456,0.74358,0.92608,0.67718,1.062,2.19127,0.98854,0.000244194,0.000244194,0.000244194
19,401.133,0.95553,1.13517,0.96115,0.82394,0.81152,0.9355,0.67711,1.06162,2.07387,0.99042,0.000238525,0.000238525,0.000238525
20,422.786,0.90194,1.06205,0.96123,0.80478,0.90349,0.94838,0.69807,1.03399,1.7372,0.99081,0.000230794,0.000230794,0.000230794
21,444.4,0.95237,1.03289,0.99589,0.81469,0.90412,0.95886,0.7042,1.03007,1.62271,0.98872,0.0002125,0.0002125,0.0002125
22,465.832,0.89881,0.97147,0.98824,0.90225,0.8783,0.96727,0.70595,1.03622,1.55311,0.98452,0.000191875,0.000191875,0.000191875
23,487.258,0.9114,0.9361,0.96767,0.91357,0.87747,0.97379,0.7145,1.0499,1.49766,0.98092,0.00017125,0.00017125,0.00017125
24,508.853,0.92162,0.97246,0.97914,0.8759,0.9712,0.98055,0.7252,1.05582,1.33978,0.97769,0.000150625,0.000150625,0.000150625
25,530.435,0.89813,0.95242,0.97047,0.88827,0.98232,0.98008,0.72828,1.04155,1.25431,0.97517,0.00013,0.00013,0.00013
26,554.882,0.89031,0.89428,0.95666,0.89519,0.97148,0.98065,0.73572,1.03006,1.18582,0.97206,0.000109375,0.000109375,0.000109375
27,577.686,0.92093,0.97459,0.9788,0.90406,0.97345,0.98218,0.72924,1.01864,1.12806,0.97016,8.875e-05,8.875e-05,8.875e-05
28,599.369,0.90837,0.91133,0.98828,0.92025,0.96656,0.98239,0.73269,0.99373,1.05501,0.96626,6.8125e-05,6.8125e-05,6.8125e-05
29,621.661,0.89509,0.87835,0.97368,0.92662,0.98061,0.98331,0.73758,0.98768,1.02155,0.96504,4.75e-05,4.75e-05,4.75e-05
30,643.391,0.86085,0.89798,0.96165,0.9391,0.97686,0.98362,0.73843,0.98268,0.99568,0.96442,2.6875e-05,2.6875e-05,2.6875e-05
